androidVersion,androidVersionText,appId,containsAds,contentRating,currency,description,developer,genre,genreId,installs,minInstalls,permission,price,privacyPolicy,ratings,released,score,size,summary,title,url,version
5.0,5.0 and up,com.satellite.earthmap.travel.navigation.GPS.free,Contains Ads,Rated for 3+,CNY,"Mostly people on store are searching for something new to explore whole world through map. Welcome you all in the best 3D map application. Imagination is now live view through satellite map, live route navigation & direction. You know this is free gs navigation earth map in 2021 having multiple hot features. It provides high class map travel navigation for your routes and trips. This satellite map live route navigation & direction app will prove best guider as it provide simple gps route with live gps guides makes your journey full of enjoy. This free gps route application highlights a definitive route insight. This Live satellite map app shows you the scope of complete earth live directions and 3D landscape of the whole globe and 3D structure. Visit the whole world through street view 360 streaming and live world imaginations through satellites directions. Enjoy HD photos of your favorite locations. Live earth map HD and satellite view live is available to you. This live satellite map application is the best for showing satellite maps view with street live house immediately. You do not need flight expenses and contacting others for just getting information if you are using this satellite map, live route navigation & direction application. This live HD world map makes your tour relax and genuine in order to present street view and earth map live, 360 tracking and current time pictures.For your routes and trips, this satellite view app and live earth map is genuine and free. Live world guide route application makes your excursion arranging simple and live traffic map make you're driving quick. This satellite map and live gps navigation app provide the best traffic route app facilities in 2021.it will automatically detect your location when you allow our application to access your current location. Satellite map, live route navigation & direction show you variety of 3D photos and exact live satellite view of your desire locations. By using live maps satellite view app you can get information of all nearby places. You can easily memorize your trips with live satellite app on your all android gadget. This live earth map 2021 work through global positioning method to guide you for best route. You can also find your home current locations with live satellite view and through this satellite navigation app. For using all highlights features of satellite map, live route navigation & direction you should enable your location and internet connectivity. Just go start you’re planning for trip.Other benefits for using this navigation app and map travel navigation that you are not alone in new country or in new city .when you need to go to an atm, an eatery, a railroad station, an emergency clinic or a close by fuel station, the live route map app will assist you with getting a simple live map and short route to reach your desire location. You can easily get the accurate track and proper driving directions through this gps navigation. Get a quick install this live earth map for your excursion and offer it with your contact list.Important highlight of this live route navigation app with 3D word map are free route map guidance. Get a realistic street view through live satellite map on your android gadget and easily find the routes and locations along with detail descriptions with high quality 360 displays. This navigation app is free and available 24/7 for you with internet connectivity. Search for ATM, banks, schools, restaurants and hospitals with quick results.Trace your trips and final locations by name even with street address and house number with this free live gps app. so this is latest information route guide app and up to date navigation app. Free live earth map give you flexible satellite view with user friendly environment. Just click to grab for accessing all live gps hot streams!",Hifa tech,Travel & Local,TRAVEL_AND_LOCAL,"50,000+",50000,,0,https://sites.google.com/view/hifatechnologies/home,158,"September 21, 2021",3.930000066757202,28M,Live navigation & satellite gps app that gives ultimate navigation experience.,Live Satellite Gps Navigation,https://play.google.com/store/apps/details?id=com.satellite.earthmap.travel.navigation.GPS.free,19.0.28
5.0,5.0 and up,com.sharevpn.master,Contains Ads,Rated for 3+,CNY,"Amp-up the security on your Android device with Share Vpn▶ Why choose Share VPN?✔ Hide your IP and browse the webpage anonymously.✔ Strongly protect you when using a public WiFi hotspot.✔ No username, No password, No registration, No data limitation.✔ No logs, no monitoring, no selling your data.✔ Surf anonymously at Fast Speed.Multiple servers spread across lots of countries- Minimum risk of server overload!- Keep each server to provide the best performance in your browsing session!⇨ How Share Vpn worksShare VPN Proxy provides a secure and trustworthy connection through an encrypted channel between your device and the target website, using Virtual Private Network (VPN) technology. Share Vpn hides your real IP address to anonymize your device so that your online activities cannot be tracked by anyone, and you will be able to get access to restricted websites, even behind the firewalls.Contact UsAny problems or suggestions, please feel free to contact us via Email: :sharevpnproxy@protonmail.comBecause of the policy reason, our VPN service does not support mainland China. We apologize for any inconvenience caused.",CleanMaster,Tools,TOOLS,"10,000,000+",10000000,,0,http://sharevpnfree.com/privacy.html,181183,"September 24, 2021",4.582601547241211,14M,Free and unlimited VPN proxy with super fast speed and unlimited bandwidth！,"Share Vpn-Faster&Safer, Unlimited Free vpn",https://play.google.com/store/apps/details?id=com.sharevpn.master,1.0.3
4.1,4.1 and up,com.shopee.ph,,Rated for 3+,CNY,"Shopee is the leading online shopping platform in Southeast Asia and Taiwan that offers convenient and seamless shopping to users that are looking to shop anytime and anywhere. With strong payment and logistical support, Shopee provides all users with an easy, secure, and fast online shopping experience.SHOP ANYTIME, ANYWHERE•        Browse and shop with ease from our comprehensive range of categories, including health & beauty, electronics, fashion, home & living, babies & kids' toys, and more•        Get quality products from official brands on Shopee Mall•        Explore Daily Discover section for tailored product offerings •        Enjoy great savings from our daily Flash Sales•        Earn Shopee Coins to enjoy more savingsSAFE ONLINE ENVIRONMENT•        Make informed purchases – Scan through seller's ratings and reviews•        Risk-free payment - Shopee Guarantee only releases payment upon confirming receipt of order•        Strong logistics support - Track your orders from payment to delivery via up-to-date shipping informationSEAMLESS CHECKOUT & SECURE PAYMENT METHODS•        Use the ShopeePay in-app wallet for exclusive vouchers•        Experience quick and convenient purchase process with our intuitive interface •        Transact with your preferred method - pay with bank transfer or credit cardAPP HIGHLIGHTS•        Search by category and brand•        App-exclusive offers and daily deals notifications•        Personalised product recommendations•        Customer rating and reviews•        Shopee Coins with every purchase•        Order tracking•        100% protection with Shopee Guarantee•        Many more to come-------------------Give us a shout-out - we'd love to hear from you!Visit our WEBSITE: www.shopee.phLike us on FACEBOOK: facebook.com/ShopeePHFollow us on INSTAGRAM : @shopee_ph",Shopee,Shopping,SHOPPING,"50,000,000+",50000000,,0,http://shopee.ph/privacy/,2035581,"September 22, 2021",4.691130638122559,116M,#1 Online Shopping App Free Shipping Vouchers | COD Nationwide,Shopee No.1 Online Platform,https://play.google.com/store/apps/details?id=com.shopee.ph,2.77.06
5.0,5.0 and up,com.optipay.littlecash,Contains Ads,Rated for 3+,CNY,"Little Cash gives you instant personal loan to direct to your mobile wallet.How to Get a little Cash loan:Download the app from Google Play storeRegister with our applicationGet your loan approval on flyOur secure system verifies your identity in a fewYour loan amount will be deposited in your Mobile Money accountLittle Cash Loan Terms and Fees:Loan Amounts: PHP 1,000 - PHP 50,000Monthly facilitation fee: 9% - 25%APR: 27% - 260%For example, for a 65-days loan with a principal amount of PHP 1,000 the facilitation fee would be PHP 250 and the total payable amount would be PHP 1,250Minimum repayment period is 65 days while the maximum repayment period is 120 days, with a minimum APR is 27% while the maximum APR is 260%LittleCash does not charge more than the amount of the facilitation fee (plus a one-time late fee if you do not pay after the loan repayment grace period). The loan amount does not compound or accrue.Sample Loan :Loan Amount 1000 PHPInterest Calculation - (1000 * 25 ) / 100 = 250 PHPExpected Payback amount For 65 days - 1000 PHP + 250 PHP = 1250 PHPMonthly Payment - 625 PHPLittle Cash is very flexible and charges affordable and low facilitation fee ranging from 9% to 25%What You'll Love● Avail instant loans from Little Cash  through your smartphone● Faster approval process with less documentation● Get collateral-free loans without any bank visits or phone calls● Attractive rate of interests● Loan disbursement in 10 minutesDocumentationThe minimum documents required to avail loan is your identification number,mobile number, your email address etc. might be required. Once you apply for loans, we will check you in a few minutes.SecurityYour data is safe with us. It is transferred over a secure HTTPS connection to us, and we do not share it with anyone without your consent except the Lenders. All the transactions are secured via a 128-bit SSL encryption.Customer serviceIf you have questions or complaints, please leave us a message through the Feedback page in our application or contact our customer service center. We are ready to serve you.",Optipay Limited,Finance,FINANCE,"100,000+",100000,,0,https://little-cash-0.flycricket.io/privacy.html,46786,"August 10, 2021",4.063272476196289,4.8M,Borrow money in our Loans App. Get cash swiftly straight to your Mobile account,Little Cash - Mobile Loans,https://play.google.com/store/apps/details?id=com.optipay.littlecash,1.22
5.0,5.0 and up,com.hc.go,,Rated for 3+,CNY,"Product introductionLoan amount: ₱ 5,000.00 - ₱ 20,000.00Loan term: 91 days (shortest, including renewal time) - 365 days (longest, including renewal time) Maximum APR is 18.25% per year, 0.05% per dayTransaction fee：0Service fee: No other feesFor example: If you choose a loan limit of ₱ 10,000.00 with a period of 180 days,the total interest should be paid: ₱ 10,000.00 * 0.05% * 180= ₱ 900.00, monthly interest shall be paid: ₱ 10,000.00 * 0.05% * 30 = ₱ 150.00，monthly repayment bill including principle and interest shall be paid: ₱ 10,000.00/6 + ₱ 150.00 = ₱ 1816.67，total repayment bill including principle and interest shall be paid: ₱ 10,000.00 + ₱ 900.00 = ₱ 10,900.00.✔Peso Loan / Peso Lending to your account (bank, e-wallet)✔Unsecured fast to get peso to your account (bank, e-wallet)✔Online loan peso platform. Unsecured online loan, quickly arrived. Staged shopping, zero mortgage to take homeWhat is Cashgo?Still feeling uneasy about the mortgage of a capital peso lending peso? Dating money is not enough! Want to change your phone? Nothing to worry about now, Cashgo can solve all your problems for you. Cashgo, a platform dedicated to unsecured online loans with peso, can be ordered in stages, and can solve all your troubles because of money.Who can borrow?Cashgo is one of the earliest online lending platform in the Philippines. If you are over 18 years old, have a stable mobile number and a stable source of income, you can come to Cashgo to make a peso loan. We will increase the limit and loan period based on your credit score! The more data you provide, the higher your credit score. Borrowing takes only 4 steps:✔ download the app Cashgo - For Fast Loan and Peso Lending Online✔fill in the data in 5 minutes✔wait for the review✔get your loan (bank transfer, e-wallet etc.)InstructionsWe offer different amounts of services. Users can choose the money of peso in loan amount according to their individual needs.The entire process is completed online, unsecured, to meet fast and secure loan funding needs.-----------Features-----------UnsecuredCashgo is a completely unsecured online peso lending platform. This means you don't need to provide any collateral. Only ID card loans are required.Easy to useJust download the app of Cashgo - For Fast Loan and Peso Lending Online, no need to quit, no signature required. Complete the loan application in 5 minutes, the fast process, the whole process can be completed by mobile phone, amazing experience.Fast approvalYour application will be approved shortly, but depending on the bank's payment system, redemption may take from 1 minute up to 24 hours.Privacy and SecurityCashgo protects all user information and we will not post your personal data to third parties without prior consent.Repayment convenienceRepayment can be done through online banking, Minimarket (7-11, M. Lhuillier), bank transfer, e-wallet (GCash, Coins.ph, CLiQQ etc.) About usHave problem to use Cashgo？Please contact our online service for help:Working time: 8:30 am – 18:00 pm (Monday - Saturday)Phone Smart: +639 09052210807Email:cs.cashgo2019@gmail.comOnline Customer Service: Open the app -> Mine -> Contact UsAddress:STA CRUZ, MANILACompany information:CATCHCASH LENDING INVESTORS CORP.COMPANY REGISTRATION NO.CS201915716CERTIFICATE OF AUTHORITY NO.3093",Catchcash lending investors corp,Finance,FINANCE,"100,000+",100000,,0,http://app.hcloudai.com/preview/philippines/philippines_privacy_policy.html,1697,"September 23, 2021",3.497142791748047,9.7M,The most professional online loan software around you in the Philippines,CashGo - Fast cash and peso loan online,https://play.google.com/store/apps/details?id=com.hc.go,3.0.5
4.4,4.4 and up,com.snapchat.android,Contains Ads,Rated for 12+,CNY,"Snapchat is a fast and fun way to share the moment with your friends and family 👻SNAP • Snapchat opens right to the Camera — just tap to take a photo, or press and hold for video.• Express yourself with Lenses, Filters, Bitmoji and more! • Try out new Lenses daily created by the Snapchat community!CHAT • Stay in touch with friends through live messaging, or share your day with Group Stories.• Video Chat with up to 16 friends at once — you can even use Lenses and Filters when chatting!• Express yourself with Friendmojis — exclusive Bitmoji made just for you and a friend.STORIES• Watch friends' Stories to see their day unfold.• See Stories from the Snapchat community that are based on your interests.• Discover breaking news and exclusive Original Shows.SPOTLIGHT• Spotlight showcases the best of Snapchat!• Submit your own Snaps or sit back, relax, and watch.• Pick your favorites and share them with friends.MAP • Share your location with your best friends or go off the grid with Ghost Mode.• See what your friends are up to on your most personal map when they share their location with you. • Explore live Stories from the community nearby or across the world!MEMORIES • Save unlimited photos and videos of all your favorite moments.• Edit and send old moments to friends or save them to your Camera Roll.• Create Stories from your favorite Memories to share with friends and family.FRIENDSHIP PROFILE • Every friendship has its own special profile to see the moments you’ve saved together.• Discover new things you have in common with Charms — see how long you’ve been friends, your astrological compatibility, your Bitmoji fashion sense, and more!• Friendship Profiles are just between you and a friend, so you can bond over what makes your friendship special.Happy Snapping!• • •Please note: Snapchatters can always capture or save your messages by taking a screenshot, using a camera, or otherwise. Be mindful of what you Snap!For a full description of our privacy practices, please see our Privacy Center.",Snap Inc,Social,SOCIAL,"1,000,000,000+",1000000000,,0,http://www.snapchat.com/privacy,27310104,"September 25, 2021",4.247461795806885,76M,Share the moment!,Snapchat,https://play.google.com/store/apps/details?id=com.snapchat.android,11.46.0.33
4.2,4.2 and up,org.fie.swordplay,,Rated for 3+,CNY,"FIE Swordplay is the first mobile game with real athletic rules for fencing with foils, swords, and sabers that is officially supported by the FIE (http://fie.org). Learn real techniques — from simple thrusts to powerful lunges and devious feints. Play against an AI opponent or challenge a social network friend to a duel.Choose the country you want to represent, equip your fencer, and enter tournaments all over the world. Fight your way from ambitious novice to fencing master.Features of FIE Swordplay•	The world's first mobile game with real rules and techniques from athletic fencing•	Gorgeous 3D graphics, phenomenal animation, and real fencing physics•	Deep customization — fine-tune your weapons and equip your character with gear such as vests and masks•	Compelling PvE campaign: fight your way from novice athlete to Olympic champion•	Asynchronous PvP mode: duel your social network friends•	Incredibly simple, easy-to-use controls. Master several types of weapons quickly, then hone your skills•	Officially supported by the International Fencing FederationStart playing FIE Swordplay and compete in fencing duels that are dynamic, striking, and full of drama — right on the screen of your mobile device! Athletic combat with swords and foils has never looked so spectacular!",FIE,Sports,GAME_SPORTS,"5,000,000+",5000000,,0,https://static.fie.org/uploads/24/123854-2020-07-01_FIE_Swordplay_EULA_Privacy_Policy.pdf,189304,"September 6, 2021",4.073827743530273,89M,Swordplay is the first mobile game with real athletic rules for fencing.,FIE Swordplay,https://play.google.com/store/apps/details?id=org.fie.swordplay,2.65.9841
Varies with device,Varies with device,com.google.android.youtube,Contains Ads,Rated for 12+,CNY,"Get the official YouTube app on Android phones and tablets. See what the world is watching -- from the hottest music videos to what’s popular in gaming, fashion, beauty, news, learning and more. Subscribe to channels you love, create content of your own, share with friends, and watch on any device.Watch and subscribe ● Browse personal recommendations on Home● See the latest from your favorite channels in Subscriptions ● Look up videos you’ve watched, liked, and saved for later in Library Explore different topics, what’s popular, and on the rise (available in select countries)● Stay up to date on what’s popular in music, gaming, beauty, news, learning and more● See what’s trending on YouTube and around the world on Explore● Learn about the coolest Creators, Gamers, and Artists on the Rise (available in select countries)Connect with the YouTube community● Keep up with your favorites creators with Posts, Stories, Premieres, and Live streams● Join the conversation with comments and interact with creators and other community membersCreate content from your mobile device● Create or upload your own videos directly in the app ● Engage with your audience in real time with live streaming right from the appFind the experience that fits you and your family (available in select countries)● Every family has their own approach to online video. Learn about your options: the YouTube Kids app or a new parent supervised experience on YouTube at youtube.com/myfamilySupport creators you love with channel memberships (available in select countries)● Join channels that offer paid monthly memberships and support their work● Get access to exclusive perks from the channel & become part of their members community● Stand out in comments and live chats with a loyalty badge next to your usernameUpgrade to YouTube Premium (available in select countries)● Watch videos uninterrupted by ads, while using other apps, or when the screen is locked● Save videos for when you really need them – like when you’re on a plane or commuting● Get access to YouTube Music Premium as part of your benefits",Google LLC,Video Players & Editors,VIDEO_PLAYERS,"10,000,000,000+",10000000000,,0,http://www.google.com/policies/privacy,123130442,"September 24, 2021",4.293582916259766,Varies with device,Enjoy your favorite videos and channels with the official YouTube app.,YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,Varies with device
4.4,4.4 and up,game.color.ballz.block.brick.puzzle.free.physics.balls,Contains Ads,Rated for 3+,CNY,"Physics Balls : Bounce In Loop Machine! HOW TO PLAY?Aim at breaking all bricks by one shoot: Swipe your finger and throw balls,Make them roll among the bricks.Hit items to make extra balls or double size ball.Prevent the bricks to reach the check-line!Features:◉ Perfect physic ball bouncy engine◉ Fully automatic progress save◉ Endless game mode◉ Tablet supportPhysics Balls is Suit for all age and completely FREE to play!Now become the master of the Physic Balls! contact us:Website: http://www.crystalrover.comE-mail: curryvector@gmail.comFacebook: https://www.facebook.com/AbcVector-488597784826690Twitter: https://twitter.com/BigdogDev",BIGDOG GAMES,Arcade,GAME_ARCADE,"1,000,000+",1000000,,0,http://www.crystalrover.com/privacy-policy.html,41073,"February 6, 2021",4.289109706878662,16M,Physics Balls is not a normal balls game! This game is the most fun!,Physics Balls,https://play.google.com/store/apps/details?id=game.color.ballz.block.brick.puzzle.free.physics.balls,1.20
4.4,4.4 and up,cooking.crush.cooking.talent,Contains Ads,Rated for 3+,CNY,"🍔  Come to restaurant management game our wonderful super cooking game.🍔 You will discover extremely fascinating things in this cooking game at various levels of chef games. You will manage your own restaurant and serve hundreds of customers with hundreds of different dishes such as: hamburgers, soft drink, pizza, hot dogs, milkshake...🍔 🍦 Designed as luxury restaurants and rich in hamburger🍦 Cooking games controls easily🍦 Many exciting gifts await you through the levels of cooking game 🍦 Upgrade your restaurant through food truck games to attract more customers.🍦 Direct manipulation from adults to children can play cooking gamecomfortably and you are the best chef game - food truck games🍦 This player will be more and more interested in chef game and hamburger and join on the restaurant fever🍔 Control the chef game dash of dishes to suit, observe the time to eat food does not burn. Bring your customers the food they want, If broken food can be thrown away in the trash.Transform yourself into a restaurant fever, becoming a chef game in the luxury kitchen - food truck games. 🍔 You cook all kinds of dishes with different flavors to serve the hungry guests with fast speed. At this point you will learn how to manage the good times so that the guests visit reasonable.Chef games are a favorite game for mom, kids and girls.🍔 ",MobiGreen inc,Strategy,GAME_STRATEGY,"10,000,000+",10000000,,0,http://videonews.strikingly.com/#privacy-policy,55900,"May 28, 2021",4.167529106140137,76M,Do you want to serve delicious food from around the world?,Cooking Talent - Restaurant fever,https://play.google.com/store/apps/details?id=cooking.crush.cooking.talent,1.1.5.7
4.1,4.1 and up,com.mobile.legends,Contains Ads,Rated for 7+,CNY,"Join your friends in a brand new 5v5 MOBA showdown against real human opponents, Mobile Legends: Bang Bang! Choose your  favorite heroes and build the perfect team with your comrades-in-arms! 10-second matchmaking, 10-minute battles. Laning, jungling, tower rushing, team battles, all the fun of PC MOBAs and action games in the palm of your hand! Feed your eSports spirit!Mobile Legends: Bang Bang, outstanding MOBA game on mobile. Smash and outplay your enemies with teammates to achieve the final victory!Your phone thirsts for battle!  Real-time 5v5 battles against real opponents. Fight over 3 lanes to take the enemy’s tower. 4 jungle areas. 18 defense towers. 2 Wild Bosses. Complete reproductions of classic MOBA maps. Full-on 5v5, Human vs. Human battles. A triumphant return to genuine MOBA gameplay. Block damage, control the enemy, and heal teammates! Choose from Tanks, Mages, Marksmen, Assassins, Supports, etc. to anchor your team or be match MVP! New heroes are constantly being released! Just like classic MOBAs, there is no hero training or paying for stats. Winners and losers are decided based on skill and ability on this fair and balanced platform for competitive gaming. Play to Win, not Pay to Win. With a virtual joystick on the left and skill buttons on the right, 2 fingers are all you need to become a master! Autolock and target sifting allow you to last hit to your heart’s content. Never miss! And a convenient tap-to-equip system lets you focus on the thrill of battle! Matchmaking only takes 10 seconds, and battles last 10 minutes, glossing over the quiet early-game leveling up and jumping right into intense battles. Less boring waiting and repetitive farming, and more thrilling action and fist-pumping victories. At any place, at any moment, just pick up your phone, fire up the game, and immerse yourself in heart-pounding MOBA competition. In most MOBAs, a dropped connection means hanging your team out to dry, but with Mobile Legends: Bang Bang’s powerful reconnection system, if you get dropped, you can be back in the battle in seconds. And while you’re offline, your character will be controlled by our AI system to avoid a 5-on-4 situation.PLEASE NOTE! Mobile Legends: Bang Bang is free to download and play, however some game items can also be purchased for real money. If you do not want to use this feature, please set up password protection for purchases in the settings of your Google Play Store app. Also, under our Terms of Service and Privacy Policy, you must be at least 12 years of age to play or download Mobile Legends: Bang Bang. You can get customer service assistance via the [Contact Us] button in the game to help you with any problems you may encounter while playing. You can also find us on the following platforms. We welcome all of your Mobile Legends: Bang Bang thoughts and suggestions: mobilelegendsgame@moonton.com @mobilelegendsgame https://www.youtube.com/c/MobileLegends5v5MOBA",Moonton,Action,GAME_ACTION,"100,000,000+",100000000,,0,https://m.mobilelegends.com/en/newsdetail/475,27962118,"September 16, 2021",4.1442766189575195,120M,Play 5v5 MOBA game on mobile with worldwide players.,Mobile Legends: Bang Bang,https://play.google.com/store/apps/details?id=com.mobile.legends,1.6.18.6761
4.1,4.1 and up,com.asiedu.lang.learnkoreanfree,Contains Ads,Rated for 3+,CNY,"Learn Korean is a free educational product. It is developed by The Global Language Development Project - Edu Master Pro.Learn Korean is a language Assistant. It helps you:-	 Overcome language barriers, connect with the whole worl-	 Confident in communicating with foreigners-	Travel, explore the culture, civilization of mankind -	 Become a global citizen with unlimited language capabilitiesFEATURESMinimum size, Maximum subjects- Easy to install and use- Suggest common and popular communication topics- Standard pronunciation guide by native people- Record and listen to your voice- Create your favorite word listDo not forget to CLICK 5 * to make Edu Master Pro more motivated to perfect the product",Edu Master Pro,Education,EDUCATION,"50,000+",50000,,0,https://sites.google.com/site/edulearnlanguages/,425,"November 1, 2020",4.159999847412109,84M,Learn Korean - A language assistant is very useful.,Learn Korean,https://play.google.com/store/apps/details?id=com.asiedu.lang.learnkoreanfree,1.1.5
4.4,4.4 and up,com.globe.gcash.android,,Rated for 3+,CNY,"A mobile wallet app that lets you instantly pay bills, buy load, send money, shop, and more – all in the safety of your own home!Enjoy fast and easy payments with GCash! It's a safe, secure mobile wallet that connects to your mobile number, making it available anytime, anywhere. Download GCash today so you can complete your errands without having to break quarantine!• Open to all networks• Zero-rated for Globe and TM• Regulated by BSP• Send money to GCash, Coins.ph, and PayMaya users• Send any amount to multiple people at once with Ang Pao• Transfer funds instantly to any major bank account nationwide• Save bank account details for future fund transfers• Send to BPI, BDO, Metrobank, Landbank, Unionbank, Chinabank, etc• Pay utility bills and more without going out• Past due bills and paying with GCredit also accepted• Save favorite billers and set payment reminders• Electricity: Meralco, Kuryente Load, and other provincial providers• Water: Manila Water, Maynilad, and other provincial providers• Cable, Internet: Globe at Home, Sky Broadband, Smart Bro, etc• Telecoms: Globe Postpaid, PLDT DSL, Smart, Sun Cellular, etc• Credit Cards, Loans: BPI, BDO, Citibank, Home Credit, U-Peso, etc• Government: BIR, DFA, MMDA, NBI, SSS, Pag IBIG, etc• Travel: AirAsia, Cebu Pacific, PAL, etc• Buy load for anyone on all networks instantly• Load any Globe, TM, Smart, TNT, Sun Cellular number• Buy exclusive Globe and TM load combos• Buy broadband packages for Globe at Home Prepaid Wifi• Buy TV channels, PIN for Cignal and SkyCable• Buy MaxiCare prepaid health insurance• Receive remittances from MoneyGram and Western Union while at home• Key in your reference number and receive money on your phone• Link your Paypal to GCash to withdraw or transfer funds for free• Gain access to GCredit, GCash's mobile credit line, based on your GScore• Credit limit starts from P1,000 to P30,000• Build your GScore by using GCash frequently• Top up your GCash using online banking: BPI, RCBC, Unionbank, etc• Mastercard/Visa debit card also available: BDO, AUB, Citi, HSBC, and more• Cash in over the counter: Cebuana Lhuillier, Villarica, Touchpay, Bayad Center, etc• Easy, secure, and instant payments to Lazada, Shopee, and more• Pay for food and grocery deliveries with American Express Virtual Pay or GCash Mastercard• Link your GCash to App Store and Play Store to pay for apps, games, movies, and more• Scan to pay QR codes at over 70,000 GCash partners• Pay at Puregold, SM, and a ton of shops and restaurants nationwide• Buy 10 kinds of gaming pins from top brands at Php 1=1 cost• Get Garena Shells, Steam Wallet Codes, LevelUp, Blizzard, Ragnarok, GameClub Credits• Razer Gold, Rules of Survival, Mobile Legends Diamonds, PUBG PINs available• No minimum deposit, no minimum balance• Up to 4.1% interest rate per annum• In partnership with CIMB Bank; insured by PDIC• Subscribe to an investment fund for as low as P50• In partnership with ATRAM Trust Corp• Earn green energy on GCash Forest by doing green activities• Green activities: Walking, completing cashless transactions on GCash• Get enough points to plant a tree at Ipo WatershedJoin our ongoing promos to get freebies! Get cashbacks, vouchers, discounts, or even treats from Jollibee, Lazada, Bonchon and more!Now with 20 million users!",Mynt - Globe Fintech Innovations,Finance,FINANCE,"10,000,000+",10000000,,0,http://www.gcash.com/privacy-notice/20190402/,810713,"September 23, 2021",4.300785064697266,62M,"A mobile wallet that lets you shop, send, save, and more with your smartphone!","GCash - Buy Load, Pay Bills, Send Money",https://play.google.com/store/apps/details?id=com.globe.gcash.android,5.44.1
Varies with device,Varies with device,com.facebook.orca,,Rated for 12+,CNY,"Be together whenever, with our free* all-in-one communication app, complete with unlimited text, voice, video calling and group video chat features. Easily sync your messages and contacts to your Android phone and connect with anyone, anywhere.CROSS-APP MESSAGING AND CALLINGConnect with your Instagram friends right from Messenger. Simply search for them by name or username to message or call.VANISH MODESend messages that only last for a moment. Opt in to use vanish mode where seen messages disappear after you exit the chat.PRIVACY SETTINGSNew privacy settings let you choose who can reach you, and where your messages are delivered.CUSTOM REACTIONSLost for words? You can customize your reactions, with lots more emojis to choose from, including 🎉 and 🔥.CHAT THEMESChoose from fun themes and colors, like Tie-Dye or Love, to make your chats more personal.WATCH TOGETHERWatch videos, tv shows, and movies with your friends over Messenger Video Chat and Rooms when you can't be together. Capture every moment and reaction in real-time.GET THE GROUP TOGETHER WITH ROOMSSend a link to group video chat with anyone, even if they don't have Messenger. Host up to 50 people with no time limits.FREE* VIDEO CALLS TO STAY CONNECTEDKeep your friends and family close with unlimited live video chatting. Host group video calls with up to 8 people, with high-quality audio, high definition video, and interactive video features like face filters.UNLIMITED FREE* TEXT & PHONE CALLSSkip exchanging phone numbers and simply send a message to your Facebook friends, even if they’re across the world. Enjoy high-quality voice and text messaging on mobile, tablet, and desktop.TURN OFF THE LIGHTS IN DARK MODEGive your eyes some rest with a sleek new look that darkens the colors of the chat interface.*RECORD AND SEND VOICE AND VIDEO MESSAGESWhen text just won't cut it, just hit record and send. Say, sing, show, or shout it out loud.*EXPRESS YOURSELF WITH STICKERS, GIFS, AND EMOJISUse custom stickers to show your creative side. You can even add effects and filters to video calls.*SEND FILES, PHOTOS, AND VIDEOSThere’s no limit to the number of files you want to share with your friends.*PLAN AND MAKE IT HAPPENMake plans to get together with polls and more. Suggest a meeting spot or tell friends where you are by sharing your location with just a few taps.*SEND MONEY SECURELY AND EASILY (within US only)Send and receive money securely and easily with friends and family right in the app by adding your debit card, PayPal account or reloadable prepaid card (single-source cards eligible for sending money only).*CHAT WITH BUSINESSESEasily connect with your favorite businesses to make reservations, get customer support, find deals and more.BRING SMS INTO MESSENGERNo need to open multiple apps to stay in touch. Use one app for SMS and Messenger.COMPATIBLE ACROSS PLATFORMSChat with friends across an array of devices, like desktop, Portal, and others.Privacy Policy: https://www.facebook.com/about/privacy/LEARN MORE about Messenger texting and group video chat at: http://messenger.com (http://messenger.com/)* Data rates applySome Messenger features may not be available in your country or region.",Facebook,Communication,COMMUNICATION,"5,000,000,000+",5000000000,,0,https://m.facebook.com/policy.php,80041124,"September 22, 2021",4.012426376342773,Varies with device,"Free group video chat, video calls, voice calls and text messaging.",Messenger – Text and Video Chat for Free,https://play.google.com/store/apps/details?id=com.facebook.orca,331.0.0.15.119
