Author,Authority,Category,Compatibility,Content_rating,Description,Detail,Developer_address,Developer_email,Developer_website,Icon,Installs,Item_name,Link,Package,Rating,Review_number,Size,Update,Version
Clapfoot Inc.,,Sports,2.3 and up,Rated for 3+,Fast paced table tennis action comes to your Android device!,"Fast paced Table Tennis action comes to your Android device. Perform smashing serves and side-spin shots to take out your opponents in the most exciting Table Tennis sports game on your mobile device.,Features:,* Intense Ping Pong action,* 30 levels of Table Tennis across 3 difficulty settings,* Intuitive touch screen controls,* 3D rendered Table Tennis environments,* Realistic Ping Pong physics,* Vibration force feedback,* Small download size,* Game playable offline,To buy the ad-free version of the game, search for ""Virtual Table Tennis 3D Pro"",Be sure to also check out our follow up game Ping Pong Masters for even more sports action.",,,http://www.clapfootgames.com,https://play-lh.googleusercontent.com/Y4zECKVAKYW_RKhKYMkXf9VGjP-wHc5_PI3L24v-Yzz6djg1EYnMSUlB7wACa2YwoY4y=s180-rw,"10,000,000+",Virtual Table Tennis 3D,https://play.google.com/store/apps/details?id=com.clapfootgames.vtt3dfree,com.clapfootgames.vtt3dfree,Rated 4.1 stars out of five stars,"327,516",5.0M,"October 1, 2018",2.7.10
he ming,,Tools,4.4 and up,Rated for 3+,Monitor your movements and health in real time,"WearHealth can real-time tracking your sports and health, and allows you to better understand and plan their life, WearHealth steps can render your current movement, sleep, heart rate, blood pressure.",,,mailto:554985429@qq.com,https://play-lh.googleusercontent.com/K0uiguvnDIlGixcb6EMQbLD2VYs81I4FhM_A2K2C5F4TF-pI5d6CeEleC-p47-003w=s180-rw,"1,000,000+",WearHealth,https://play.google.com/store/apps/details?id=com.zjw.wearhealth,com.zjw.wearhealth,Rated 2.9 stars out of five stars,"15,323",33M,"May 25, 2020",1.0.66
Byteweaver Games,,Arcade,4.1 and up,Rated for 3+,Run like a true ninja in this excellent run and jump game,"Download amazing Ultimate Ninja Run Game for free and save the people of Ancient Japan! One ninja is ready to confront the evil shogun and his daimyos that are spreading fear and darkness all over the country. Can you help him fight against ninja assassins and end their bloodthirsty reign? Get this jumping game and help the last warrior save all the people of Ancient Japan!,- Story of the Ninja – A long time ago, in the province of Iga, there was a peasant boy who dreamed of becoming a shinobi. After losing his parents in a plague, an old ninja master from an Iga clan found him and taught him everything he knew. The little boy became the ultimate ninja warrior, and now his mission is to free the people from an evil shogun!,To save the people of Japan, you must find and defeat all evil daimyos that have been stealing from peasants and torturing them for years. After defeating each one of them, he must collect coins and give them back to the poor., ,Escape from the village as fast as you can to earn bonus coins for the hungry peasants!,Use jumps to escape the town faster (single, double and power)!,Use power dash to get an instant speedup and destroy all the obstacles in front of you!,Collect power-ups that allow you to run faster and smash all the obstacles on your way!,4 types of shinobi enemies – use your sword or jump on them to destroy them - find the way to defeat each one of them!,Defeat as many enemies in a row to get combos!,If you're looking for action games to play you'll be more than amazed with 'Ultimate Ninja Run Game'! You have no more ideas for spending some quality time with your family? Get this free running game and have hours of fun!,Looking for some “ninja game” to play when you're bored? This side scrolling 2D Platformer is the perfect choice for you! Get it right away and become a master in this exciting fighting game! Stunning graphics, twitch gameplay and innovative but simple controls with finger gestures for special moves, which are highly responsive, make playing 'Ultimate Ninja Run Game' so much amusing and easy! Discover an enjoyable and exciting gaming experience with the best mobile app for true gamers!,With this run and jump game you can have a great time waiting for a bus, or during a lunch break! No matter where you are, you can always grab your phone and enter the world of Ancient Japan with this free app!,Perfect ninja game for all generations of users! Everyone will enjoy playing this game for sure! No matter whether you are an experienced gamer or you simply love to play games from time to time, you will find this exciting game very amusing and you'll definitely enjoy playing it!,Download this excellent hack and slash game for free and enjoy playing it on your smartphone or tablet! This entertaining mobile app is an ideal pastime for everybody, and above all it's completely free! Try it out now! Fun guaranteed!",,,http://www.webelinx.com/contact/,https://play-lh.googleusercontent.com/D3Os8U-zRAwlIgN_HubY7WXzAaf9J4s_pUosOJJd0_FN531cZlV2LWmgRiAYPv2LAmI=s180-rw,"500,000+",Ultimate Ninja Run Game,https://play.google.com/store/apps/details?id=com.ninja.run,com.ninja.run,Rated 4.0 stars out of five stars,"12,909",33M,"January 24, 2020",3.2.1
Nguyễn Đăng Thiệp,,Maps & Navigation,4.1 and up,Rated for 3+,"Fast, safe delivery and earn extra income for you","ShipVN là ứng dụng giao hàng đầu tiên và duy nhất được đài truyền hình kỹ thuật số VTC1 đánh giá cao và giới thiệu trên sóng truyền hình.,ShipVN là hệ thống dịch vụ phần mềm thông minh hỗ trợ tương tác giữa người bán hàng  và người giao hàng thông qua thiết bị di động (điện thoại) hoặc máy tính bảng. ,Khi khách hàng sử dụng ShipVN đăng tin tìm người giao hàng thông tin sẽ được thông báo và hiển thị cho hàng nghìn shipper gần đó.,ĐỐI VỚI CỬA HÀNG:,+ GỌI SHIP NHANH HƠN, DỄ DÀNG HƠN: Bằng việc tạo một yêu cầu ship hàng, hệ thống sẽ tự động tìm những shipper ở vị trí gần bạn nhất,ĐỐI VỚI NGƯỜI GIAO HÀNG:,+ Giải quyết nhu cầu tìm việc làm thêm, tăng thêm thu nhập,+ Không mất phí trung gian cho các công ty,+ Làm nhân viên giao hàng nhanh lúc rảnh,Website: https://shipvn.com.vn, http://shiptudo.com",,,http://shipvn.com.vn,https://play-lh.googleusercontent.com/8NWHdYW_VES3mntHVvupYlJpiWmfnzKCHTH-DtrCQWZaTQM8xBRzI1OsvCFckRSN-tKR=s180-rw,"100,000+",ShipVN,https://play.google.com/store/apps/details?id=net.tantinh.shipvn,net.tantinh.shipvn,Rated 3.8 stars out of five stars,"1,875",10M,"July 29, 2021",6.1.9.1
CÔNG TY CỔ PHẦN VNG,,Casual,4.1 and up,Rated for 3+,GunPow the mobile gaming genre shooting new coordinates for Teen.,"GunPow là game mobile thuộc thể loại bắn súng tọa độ mới dành cho Teen với lối chơi cực kì vui và hấp dẫn. Nếu gunners đã từng mê mẩn trào lưu bắn gà huyền thoại, thì săn “Gà” trên GunPow sẽ mang đến cho 1 trải nghiệm game mới mẻ và chân thật nhất cùng với việc sở hữu hệ thống hơn 100 loại súng, bom, vũ khí độc lạ cực chất kèm theo hiệu ứng tấn công đẹp mắt, sống động.,Điểm đặc biệt của GunPow mà bạn không thể bỏ qua là thao tác chơi vô cùng đơn giản, chỉ việc “Kéo cực mê-Thả cực phê”, người chơi không bị áp đặt trong bất kì khuôn khổ nào mà thoải mái xả súng, đặt bom so với các thể săn Gà hiện tại, đi kèm với hệ thống Thú cưỡi vô cùng dễ thương và hữu ích cùng với dàn Pet siêu ngầu sẽ là trợ thủ đắc lực trong quá trình trải nghiệm game bắn súng tọa độ mobile.,Các Tính Năng Nổi Bật:,• Thao tác bắn đơn giản – Hiệu ứng chiến đấu kéo thả độc lạ trên mobile.,• Đồ họa Manga-Chibi cực kỳ đáng yêu và cá tính cho Teen.,• Hệ thống Thời trang phong phú,đa dạng.,• Thú cưỡi cực ngầu. Pet siêu cool.,• Dàn vũ khí súng, bom cực chất.,• Tính năng Kết hôn đặc sắc mới lạ-Không thể bỏ qua.,• Chiến boss, đi phó bản hấp dẫn cùng đồng đội.,• Tạo được trang cá nhân trong game. Tha hồ giao lưu kết bạn.,• Công hội đông vui và thiện chiến dành cho Gunners tọa độ.,PERMISSION,• WRITE_EXTERNAL_STORAGE sử dụng tính năng đọc ghi file của tính năng social.,• READ_EXTERNAL_STORAGE sử dụng tính năng đọc ghi file social.,• READ_PHONE_STATE sử dụng Device ID để ghi log hệ thống VNG,• RECORD_AUDIO sử dụng để tính năng chat voice trong game.,• GET_ACCOUNTS sử dụng để gửi nội dung đến user.",,,mailto:cs.casualmobilegame@gmail.com,https://play-lh.googleusercontent.com/FYT9yFZkvVGDLJebfybeUlABBfxpA67qzzmu6gYENPY2KTlDs5yo3-ViUg5WD-YGdXJf=s180-rw,"5,000,000+",GunPow - Bắn Gà Teen PK,https://play.google.com/store/apps/details?id=com.wyd.gunpow,com.wyd.gunpow,Rated 4.0 stars out of five stars,"116,186",99M,"September 13, 2021",1.9.0
Satellite World Maps,,Maps & Navigation,4.1 and up,Rated for 3+,"Explore the World by Live Webcams, Live Earth Maps, Satellite view & weather HD."," helps you to explore online earth live view by the night-vision feature. ,Find the most exciting places, landmarks, destinations via webcams HD live streaming. Live street Cams view of beach street webcams is available in the globe live camera app. , is easy now by Live webcam online app Live Earth Street view. The best way for live camera view to see the Live earth map and live weather forecast on mobile. Get weather broadcasting, web broadcasting, webcam HD on beach camera views, and street view. Live public webcam or live world map provide live cam street View, street cam city HD live webcam in The Live streaming., is the live webcam and beach cam of many countries with HD Live view. Live cam and street webcams are CCTV live world streaming to feed on-time information about the globe city views. Live cams beach cameras of different countries updated as continuously by the live Streaming. Street Webcam is the best app to see the world with HD live public webcam. With a live camera, viewers take virtual travel navigation around the globe by visiting any famous or new place with online live cams. , will broadcast World camera live and Live camera viewer streams online on your own smartphone very efficiently. Wherever you are on Earth online live camera around the world will help you check what’s going on in your favorite area. A live weather radar is an excellent feature to quickly get the status with live weather app in the USA live webcam  as well as Live weather widget on your home screen all the time. , will also go further in displaying details as per your need to view Live web cam uk for UK residents or friends and family houses using Live stream and Camera apps for free. , is a must for the traveling enthusiast tourists who will depend on satellite maps for GPS  navigation. You can easily explore the worldview with instant street view map, find living earth related earth map with road hints, 3d world map search and satellite map. Live Earth map 2020  is easy to see the world tool which is free for download from Google Play Store. You can also save favorite locations and pull out live earth view as 3d Satellite map within the GPS app offline.,If you have any problems installing or using the application, please contact the team developed applications via mail e-mail: ,. We will contact you and solve the problem as soon as possible.,If you like our app, please appreciate us 5-star review on google play store. Thank you.",,,https://f9e7a971c.app-ads-txt.com,https://play-lh.googleusercontent.com/KLWE0WaRQuf_QhXHIatr_3jFRhPst-QMzSt6-r_NFnPfMQQfahXxWZX8JN1lcaa5Cw=s180-rw,"1,000,000+",Street View - Live Camera,https://play.google.com/store/apps/details?id=com.liveearthmap.streetviewmap.webcams.earthcam.liveweathermap.onlinecams,com.liveearthmap.streetviewmap.webcams.earthcam.liveweathermap.onlinecams,Rated 4.1 stars out of five stars,"9,126",11M,"August 2, 2021",3.2
ELECTRONIC ARTS,,Casual,4.1 and up,Rated for 7+,A heroic new collectible card game from the makers of Plants vs. Zombies 2!,"From the makers of Plants vs. Zombies 2 and Plants vs. Zombies Garden Warfare 2 comes the next great game in the epic battle between doom and bloom – Plants vs. Zombies Heroes. Collect Heroes with outrageous and incredible super powers and build your ultimate battle team. Embark on a journey to discover new characters, and confront mighty opponents along the way. And, for the first time ever on mobile, play as either plants or zombies. It’s the lawn of a new battle!,COLLECT YOUR HEROES,Collect and choose from 20 unique Plant and Zombie Heroes and unlock their lawn-inspiring super powers. Will you pick Plants and deploy the masked, sharp-shooting avenger, Green Shadow? Or will you choose a Zombie Hero and call on the superbly superficial Super Brainz, Zomboss’s secret weapon with a powerful punch and fondness for hair gel? Each Hero’s selection of super powers will help determine your team’s winning strategy. ,FORM YOUR TEAM,Every Hero needs a crew. Build yours and diversify your skills by collecting teammates – from the PvZ characters you know and love, to daring new plants and zombies. There are hundreds to discover! Devise distinct strategies for your Hero by selecting compatible teammates and experiment with devastating combos. Or, use Auto Team-Builder to quickly create your team, try out new strategies, and automatically upgrade your teams as you collect new characters.,GO ON COURAGEOUS ADVENTURES,Journey through the universe of PvZ Heroes as each action-packed skirmish takes you further along an ever-blooming map. Battle brain-thirsty or botanical foes – each side has a different path to follow. Encounter challenging bosses with tricky powers and abilities, and defeat them for legendary rewards!,PLAY AGAINST FRIENDS AND FOES,Test your team when you take on other players in exciting real-time matches. Earn rewards for defeating your bite-iest adversaries, and build your bank when you complete Daily Missions from Crazy Dave. Who will become the ultimate horticultural hero? Harvest your courage – the battle is on!,Important Consumer Information: Requires acceptance of EA’s Privacy & Cookie Policy and User Agreement. Collects data through third party analytics technology (see Privacy & Cookie Policy for details). Contains direct links to the Internet and social networking sites intended for an audience over 13.",,,http://www.ea.com/android,https://play-lh.googleusercontent.com/3LwyZ3NidtGEixfOyqBP0HZDuF1J2WBdzDixxxYgk7sNl3FIGaveVjzaQidzBOtzEA=s180-rw,"10,000,000+",Plants vs. Zombies™ Heroes,https://play.google.com/store/apps/details?id=com.ea.gp.pvzheroes,com.ea.gp.pvzheroes,Rated 4.4 stars out of five stars,"656,992",82M,"October 16, 2020",1.36.42
IVYGAMES,,Puzzle,4.4 and up,Rated for 3+,20000000+ installations for match 3 game.,"Jewel Classic, 20000000+ installations for match 3 gem, free classic match 3 puzzle game launch on Android Market.,Swap and match jewels in dazzling combinations in fun gameplay to complete the challenge.,The best jewel game, solve puzzles cautiously, train your brain.,Fascinating game scenes, eye-catching art style, spectacular elimination effects.,Features of Jewel Classic:,-No life limit, unlimited play,No waiting time, enjoy the challenge anywhere, anytime. ,-Various game modes,2000+ well-designed levels, hundreds of different gameplay,-Classic style, comfortable experience,Bring you fresh and comfortable visual experience,-Countless rewards, free diamonds,Complete challenges to get free diamonds, more chances to win the double bonus. Try your luck! ,This sparkling puzzle adventure will instantly sate your wander land and craving for jewels quest.,Sea world and jungle world could be full of adventure! Follow the prince to explore.,Family Tips:,Elderly people which download this Jewels classic Prince maybe can stay them away from mahjong and other casino game.,Download now and enjoy puzzle fun.",,,http://www.ivymobilegame.com,https://play-lh.googleusercontent.com/2Ah-k7zr9PrfjoKfpyvWCgTuuFLVOf3DkIXrWKZ14qBsgkb2WaE3JrGb76f9CApO3Lc=s180-rw,"10,000,000+",Jewels Classic - Jewel Crush Legend,https://play.google.com/store/apps/details?id=com.dysugar.jewels.prince,com.dysugar.jewels.prince,Rated 4.4 stars out of five stars,"208,677",32M,"September 14, 2021",4.3.1
Anton Lashkov,,Tools,4.0 and up,Rated for 3+,Simple powerfull notepad!,"All that you need for keeping your notes you can find in that application.,And without any AD!",,,http://onto.su/notepad/,https://play-lh.googleusercontent.com/uuTF0u383aFW99ZeJ7m8C-mNBFdKvV5MPblknHVtjO35bcXdwcYqzEpJ7QpDkHBueg=s180-rw,"1,000,000+",Notepad,https://play.google.com/store/apps/details?id=com.onto.notepad,com.onto.notepad,Rated 4.4 stars out of five stars,"11,021","1,005k","May 1, 2020",3.0.1
scratchgames,,Entertainment,4.4 and up,Rated for 12+,momo fake call video call or voice call,"this app will allow you to receive a call from your favorite scary character : momo.,after opening the app you can choose video to play in case of a video call and choose the audio in case of a voice call from momo.,after doing this you can just schedule the call after a time of your choosing.,you can also chat with momo.,the app is designed to be as realistic as possible to help you pull-off a believable prank.,So enjoy the app and give your friends and family a good scare.,Disclaimer:,This app is not official and have nothing to do with the original character mentioned throughout the app.",,,http://www.scratchgames.website,https://play-lh.googleusercontent.com/sQlQW5kG8nzX2d-uwQfe_YiFpYEYlm-02DmpkebexkQaPXKTt4hP_7ZXx0FzGd7Xd-w=s180-rw,"1,000,000+",momo fake video call,https://play.google.com/store/apps/details?id=com.momocalling.fakecallprank,com.momocalling.fakecallprank,Rated 3.6 stars out of five stars,"15,198",8.8M,"June 25, 2020",14
Themplus,,Beauty,4.4 and up,Rated for 12+,You have at hand all the information of Korean cosmetic hospitals.,"Bạn vẫn đang mờ mịt trong việc tìm bệnh viện thẩm mỹ ở Hàn Quốc?,Giờ đây bạn có thể trực tiếp tư vấn với bệnh viện thông qua ứng dụng.,Phương pháp để có thể thực hiện phẫu thuật một cách tiết kiệm và an toàn.,[Miview - Nền tảng thẩm mỹ số 1 Hàn Quốc],- Thông tin bệnh viện an toàn và nhanh chóng,Bạn vẫn lệ thuộc vào môi giới trung gian bất hợp pháp?,Giờ đây bạn có thể nắm được thông tin về bác sĩ và bệnh viện mong muốn một cách nhanh chóng và dễ dàng.,- Hệ thống thông dịch song hành,Có thể nhận tư vấn 1:1 trực tiếp mọi lúc mọi nơi với các bệnh viện Hàn Quốc.,Không còn rào cản ngôn ngữ, bạn có thể nhận tư vấn từ đội ngũ chuyên gia thông qua hệ thống thông dịch song hành,- Cung cấp nội dung thẩm mỹ tương thích,Các bác sĩ của các bệnh viện thẩm mỹ sẽ cung cấp các thông tin thẩm mỹ phù hợp với người Việt Nam.,Hơn cả là kho thông tin phẫu thuật phong phú.,- Gói ưu đãi phù hợp với mọi khách hàng ,Các gói ưu đãi giảm giá đặc biệt từ các bệnh viện Hàn Quốc.,Hãy kiểm tra loại phẫu thuật và bệnh viện bạn muốn làm với các gói ưu đãi có giá thấp nhất chỉ có tại Miview.,- Review thật từ các khách hàng đã thực hiện,Dễ dàng xác thực thông tin chính xác, tin cậy bằng các review từ các khách hàng đã làm trước đó.,Thông qua các bài viết review bạn có thể nhận được vô số thông tin thẩm mỹ hữu ích, thông qua các thông tin có thể tư vấn trực tiếp với bệnh viện., ,Chỉ tải về một lần, bạn có trong tay mọi thông tin của các bệnh viện thẩm mỹ Hàn Quốc., ,[Chăm sóc khách hàng],Mọi thắc mắc hay điều bạn cảm thấy bất tiện hãy gửi về cs@miview.kr,[ Miview Landing page & SNS ],- Trang chủ : https://www.facebook.com/miviewtalktalk/,- Instagram : https://www.instagram.com/mivie_w/,- Youtube   : https://www.youtube.com/channel/UCAuJCCBlEP63FT5KwVScUsg?view_as=subscriber",,,https://www.miview.kr/,https://play-lh.googleusercontent.com/93CrK1H0ly9LG0OsMLdV9ZrIig3zgmgvSfl_TKL4W7M8rnpc-84bp38NlC3W29ZLFEFI=s180-rw,"10,000+",Miview,https://play.google.com/store/apps/details?id=com.gmad.miview,com.gmad.miview,Rated 4.8 stars out of five stars,178,6.2M,"June 2, 2020",1.0.5
Judi Studio,,Photography,5.0 and up,Rated for 3+,Create amazing blur background effect photos like a Professional DSLR Camera,"Auto blur background is fast and easy to use app to create amazing blur background effect pictures.,--Features---, - Smart focus area selection application automatically recognize the focus area. ,- Background Blur effect app offers dozens of blur effects ,- Picture Blur intensity adjustment adjust the image blur intensity, in order, to give a bigger blur effect, to the picture to be blurred, using this blur pic editor or speed blur app.,- Create the most realistic blur effect with various aperture styles just like DSLR camera.,- You can emphasize the light spot on the background using Bokeh effect and overlay effect like snow, feathers,...,- Portrait photography app has lots of photo blurring, bokeh tools. Using them you can easily make your own DSLR Bokeh Effect.,- Blur image background is an effective blur photo editor, which can be used blur unwanted portions of a pic effectively. It will make your picture to look same as obscure dslr camera yield,- Bokeh Effects app is your ultimate blur effect app. Now, you don't need a DSLR camera or you don't need be a professional photographer to make a DSLR Style Blur Background effect on your photo.  ,- DSLR Camera Blur Effects is perfect combination of beauty and functionality. And it is Ideal for creating AfterFocus Photo or Blur Background Pictures. Try Now!!",,,http://judiapps.com/,https://play-lh.googleusercontent.com/ikQs_IZ2FH0NmE7CtdmQ6X3b1B2nceEf7XNg4UKul6HYu3dP8XK8end2Tj1AX6RdWeN6=s180-rw,"10,000,000+",Auto blur background - blur image like DSLR,https://play.google.com/store/apps/details?id=com.judi.autoblur,com.judi.autoblur,Rated 4.6 stars out of five stars,"261,211",52M,"September 1, 2021",2.4.3
HiEdu - Development scientific calculator,,Education,4.1 and up,Rated for 3+,"Scientific calculator - Converter - Graphs- Math, Physics and Chemistry Formulas","• It is a scientific calculator supports most of the features of real calculators.,• Natural Display makes it possible to input and display fractions and certain functions (log, x2, x3, x^, ), "", x−1, 10^, e^ , d/dx, Σ, Abs ...) just as they are written in your textbook.,• Undo when you miss a mistake.,• Save history, Select a calculation in list history and edit it.,• Create favorite calculations that make calculations faster.,• This is a perfect tool for daily calculations. With memory functions similar to a small handheld calculator,• Save history, Select a calculation in list history and edit it.,• This app has 1000+ math formula and more to come.,• Now no need to make paper notes to remember mathematics formulas just have this app put all the formulas on your favourite phones. ,• you'll find formulas very simply explained in app with necessary figures will help you to understand very easily.,• The application is a physical handbook. Contains most physical formulas for students and undergraduate.help users quickly refer to any Physics formulas for their study and work.This app displays most popular as well as advanced formulas in seven categories:,+ Mechanics,+ Electricity,+ Thermal physics,+ Periodic motion,+ Optics,+ Atomic physics,+ Constants,• Allows to discover chemical reactions and to solve the chemical equations with one and several unknown variables.,• Can convert numbers between different number bases (2/8/10/16).,• Display shows numbers in binary, hexadecimal, octal and decimal.,• Input can be in binary, hexadecimal, octal or decimal.,• Easily graph functions, solve equations, find special points of functions.,• Linear equation for degree one,quadratic equation for degree two,cubic equation for degree three, System of linear equations. ,• Available unit conversions include:,+ Currency (US dollar, CDN dollar, pound, peso, etc),+ Temperature (celsius, fahrenheit, kelvin, etc),+ Length (kilometer, miles, meter, yard, feet, etc),+ Mass/Weight (kilogram, pound, ounce, ton, stone, etc),+ Speed (km/h, mph, knot, etc),+ Area (square kilometer, square mile, hectare, acre, etc),+ Cooking Volume (teaspoon, tablespoon, cup, pint, quart, ounce, etc),+ Pressure (kilopascal, bar, PSI, etc),+ Power (watt, kilowatt, horsepower, etc),+ Energy (joule, calorie, BTU, etc),+ Time (year, month, day, hour, second, etc),+ Fuel Consumption (miles per gallon, liters per 100km, etc),+ Digital Storage (bit, byte, megabytes, gigabytes, etc),+ The layout of the buttons in the this app is scientifically rigorous, which makes entering mathematical operations as simple and convenient as possible.,+ Numeric buttons and functions in the our application are beautifully designed, clear, resistant to glare, blurry and eyestrain.,+ There are many beautiful themes with different styles., : Our app products are not related to physical calculators such as casio scientific calculator, hp scientific calculators, texas scientific calculators… The app was developed by the research of the company team.",,,mailto:calculator570team@gmail.com,https://play-lh.googleusercontent.com/WMA0vALeiXub2-49zikEBGW5_s75TKX8glVwCUXGqTPxLp7PH_xBOhRx84qz8v523uo=s180-rw,"100,000+",HiEdu Scientific Calculator He-580,https://play.google.com/store/apps/details?id=com.hiedu.calculator580,com.hiedu.calculator580,Rated 4.7 stars out of five stars,"7,871",7.4M,"July 24, 2021",1.2.7
ichano,,Tools,4.0 and up,Rated for 3+,AVS install in device A，AtHome Camera install in B，so B can watch A anywhere,"Now support humen sensing !  You will receive a push notification with animated GIF images when detects humen from video streams , much more accurate than traditional motion detection.,Are you going to buy expensive Nest camera or Dropcam and take a lot of energy to build a CCTV system？Why not turn your old iphone,computer or set-top box into  security cameras？ You only have to install ""Athome Video streamer （AVS) ""APP in them. With ""Athome Camera APP on other iphone, you can view them anywhere, and receive alerts right away in case of any incident.,*******  Main Features  ********,1.  No more false alarms due to advanced AI and Deep Learning technology used to detect motion triggered by humans as opposed to shadows, lights, etc.,2. Remote monitoring on the go: watch live streaming via 3G/4G or WiFi network from anywhere at anytime;,3. Enhanced Night Vision: In a lower lighting condition, turn on the ""Night Vision"" mode will get you a  much clear and enhanced video image.,4. Two-way Talk: communicate with people and pets using the built-in mic and speaker;,5. Multi-view Display: Watch up to 4 cameras from multiple streamers on one screen simultaneously !,6. Run at startup and hide on startup: option to run the AtHome Video Streamer in background mode;,7. A Highly Secure Cloud Service: Protect all your videos and view them directly in the cloud, enjoy tight security with an easy-to-use interface. All your videos are encrypted before being uploaded to the cloud, preventing critical data being lost of tampered with. ,8. Time-lapse: Time-lapse recording will summarize 24 hours' video into a short video of just several minutes, a faster and easier way to get to know what happened in a day；,9. Pan/Tilt: remotely control your IP camera left and right or up and down to capture an entire room;,10. The App runs on PCs, iPhones, smart TV etc.,11. Secure and private: all connections between your phone and the video streaming device are encrypted.,*******  Three Steps to setup ********,Prepare 2 devices (computer or phone) before you get start.,Step 1: Download the video capture app AtHome Video Streamer App and install it in device A, the unique Connection ID (also referred to as CID) will be assigned to the device A  at the first time.,Step 2: Download and install the viewer app AtHome Camera app in device B which you want to use as a viewer. Open the app, sign up and login,select ""Add by CID"" or ""By QR Code"" to add a device A, so you are all set to enjoy the live streaming !,******** Supporting *********,Email: support@iChano.com,Website: www.iChano.com",,,http://www.ichano.com,https://play-lh.googleusercontent.com/ATLNMCH3CSRBlUdZ634C6lgDnrHF4tjOShbFw2INL--z6uljzaR107nlxoHttlN62w=s180-rw,"5,000,000+",AtHome Camera - phone as remote monitor,https://play.google.com/store/apps/details?id=com.ichano.athome.camera,com.ichano.athome.camera,Rated 4.2 stars out of five stars,"45,173",34M,"September 7, 2021",5.2.5
Rovio Entertainment Corporation,,Puzzle,4.1 and up,Rated for 3+,Match fruit and defeat lizards in this delicious matching puzzler!,"From the creators of ANGRY BIRDS comes the most DELICIOUS of match 3 games with CUTE characters and FRESH and FRUITY puzzle gameplay. Meet the NIBBLERS – your fishy friends who only want to eat YUMMY fruit – ALL the yummy fruit! Om nom nom! ,All fun and games right? Woohoo! Fruit party over here! Well, the island’s reptilian inhabitants are not too happy about our group of aquatic party animals gobbling up all their fruit, and they’ll try to stop them at all turns. It’s up to you to use the Nibblers’ special powers to keep a steady supply of fruit flowing and elude those pesky lizards in this soggy saga!,-----------------------------,*** FROM THE CREATORS OF ANGRY BIRDS ***,The masterminds behind Angry Birds have ingrained Nibblers with their brand of zany humor, a beautiful design style, and fun & satisfying gameplay!,*** MEET THE NIBBLERS ***,Match four, five, or more fruit to call in Coral, Octo, and the rest of the Nibblers. These fish have some tricks up their sleeves. Use their special abilities to munch more fruit, topple the lizards, and take out obstacles. ,*** FUN AND CASUAL ***,Nibblers is super simple to learn! Just match three similar fruits and you’re nibbling! It’s easy to pick up and play, but with over 200 levels – and more to be added, there’s always a new challenge waiting!,*** OUT OF THE WAVES, INTO THE JUNGLE ***,Embark on an island hopping adventure and navigate obstacles in a multitude of unique and puzzling levels – with new ones added all the time!,*** PLAY WITH FRIENDS ***,Get social! Connect to Facebook and challenge your friends in the leaderboards, see their progress on the island map, and share special gifts! ,*** NOT IN OUR BACKYARD ***,Heaps of scaley baddies aim to crash your fruit party. Matching fruits next to a lizard is enough to send it packing, but you’ll have to get crafty to take care of tougher enemies – and boss battles will pit your fruit matching skills against the toughest of the lizardy ranks.,-----------------------------,We have a COMMUNITY where fish are FRIENDS and not food, join now for the freshest news:,Follow: http://www.twitter.com/nibblersgame,Like: http://facebook.com/nibblersgame,Pin: http://pinterest.com/nibblersgame ,-----------------------------,Having trouble? Send a message to our support team at support@rovio.com,-----------------------------,Nibblers is completely free to play, but there are optional in-app purchases available. Time to get your nibble on! ,Terms of Use: https://www.rovio.com/terms-of-service,Privacy Policy: https://www.rovio.com/privacy,This game may include:,- Direct links to social networking websites that are intended for an audience over the age of 13.,- Direct links to the internet that can take players away from the game with the potential to browse any web page.,- Advertising of Rovio products and also products from select partners.,- The option to make in-app purchases. The bill payer should always be consulted beforehand.",,,https://www.rovio.com,https://play-lh.googleusercontent.com/9bC6vG2ov1X2eUxjNWhlNGXdPXfXaZHUww6E4iihfiZmgFCx-xK2wNQqxb-xUP2QEA=s180-rw,"5,000,000+",Fruit Nibblers,https://play.google.com/store/apps/details?id=com.rovio.Nibblers,com.rovio.Nibblers,Rated 4.6 stars out of five stars,"215,198",81M,"September 21, 2020",1.22.13
